	levofloxacin	imipenem	amikacin	ciprofloxacin	ceftazidime	cefepime	meropenem
287.1022	0	2	0	2	2	2	0
287.1023	0	2	0	2	2	2	0
287.1025	0	2	0	2	2	2	0
287.1026	0	2	0	2	2	2	2
287.1027	0	2	0	2	2	2	0
287.1028	0	2	0	2	2	2	0
287.1030	0	2	0	2	2	2	0
287.1031	0	2	1	2	2	2	1
287.1032	0	2	0	2	2	2	0
287.1034	0	2	0	2	2	2	0
287.1035	0	2	0	2	2	2	0
287.1036	0	2	0	2	2	2	0
287.1037	0	2	0	2	2	2	0
287.1038	0	2	0	2	2	2	2
287.1039	0	2	0	2	2	2	0
287.1040	0	2	0	2	2	2	1
287.1041	0	2	0	2	2	2	0
287.1043	0	2	0	2	2	2	0
287.1044	0	2	0	2	2	2	0
287.1046	0	2	0	2	2	2	1
287.1047	0	2	0	2	2	2	0
287.1048	0	2	0	2	2	2	1
287.1049	0	2	0	2	2	2	0
287.1056	0	2	0	2	2	2	0
287.1057	0	2	0	2	2	2	0
287.1059	0	2	0	2	2	2	0
287.1061	0	2	0	2	2	2	0
287.1064	0	2	0	2	2	2	0
287.1065	0	2	0	2	2	2	0
287.1066	0	2	0	2	2	2	0
287.1068	0	2	0	2	2	2	0
287.1073	0	2	0	2	2	2	0
287.1074	0	2	0	2	2	2	0
287.1075	0	2	0	2	2	2	0
287.1076	0	2	0	2	2	2	0
287.1077	0	2	0	2	2	2	0
287.1080	0	2	0	2	2	2	0
287.1081	0	2	0	2	2	2	0
287.1082	0	2	0	2	2	2	0
287.1083	0	2	0	2	2	2	0
287.1085	0	2	0	2	2	2	0
287.1086	0	2	0	2	2	2	0
287.1089	0	2	0	2	2	2	0
287.1091	0	2	0	2	2	2	1
287.1093	0	2	0	2	2	2	1
287.1098	0	2	0	2	2	2	0
287.1099	0	2	0	2	2	2	0
287.1101	0	2	0	2	2	2	2
287.1102	0	2	0	2	2	2	0
287.1106	0	2	0	2	2	2	0
287.1107	0	2	0	2	2	2	0
287.1110	0	2	0	2	2	2	0
287.1113	0	2	0	2	2	2	0
287.1114	0	2	0	2	2	2	0
287.1115	0	2	0	2	2	2	0
