	ciprofloxacin	cefoxitin	tobramycin	ceftazidime	aztreonam	cefepime	amoxicillin	trimethoprim	piperacillin_tazobactam	gentamicin	cefotaxime	cefuroxime	trimethoprim_sulfamethoxazole	ampicillin
562.23530	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23532	1	2	2	0	2	2	1	2	1	0	0	0	2	2
562.23539	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23542	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23551	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23553	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23558	1	2	2	1	2	2	1	2	2	1	1	1	2	2
562.23566	1	2	2	1	2	2	1	2	0	0	1	1	2	2
562.23571	1	2	2	0	2	2	0	2	0	0	0	1	2	2
562.23574	1	2	2	1	2	2	1	2	2	1	1	1	2	2
562.23593	1	2	2	0	2	2	0	2	0	1	0	1	2	2
562.23594	1	2	2	1	2	2	1	2	2	1	1	1	2	2
562.23610	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23615	1	2	2	2	2	2	1	2	0	0	1	1	2	2
562.23623	1	2	2	1	2	2	1	2	0	0	1	1	2	2
562.23640	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23642	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23645	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23646	1	2	2	2	2	2	1	2	1	0	1	1	2	2
562.23653	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23659	1	2	2	0	2	2	1	2	0	1	0	1	2	2
562.23664	1	2	2	0	2	2	1	2	1	0	0	1	2	2
562.23682	1	2	2	0	2	2	1	2	1	1	0	0	2	2
562.23697	1	2	2	0	2	2	1	2	0	2	0	0	2	2
562.23721	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23724	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23727	1	2	2	1	2	2	1	2	0	0	1	1	2	2
562.23734	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23737	1	2	2	2	2	2	1	2	0	0	1	1	2	2
562.23756	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23758	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23760	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23765	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23769	1	2	2	1	2	2	1	2	0	0	1	1	2	2
562.23782	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23783	1	2	2	1	2	2	1	2	0	0	2	1	2	2
562.23788	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.23791	1	0	0	0	0	0	2	0	0	0	0	0	2	1
562.23792	1	1	0	1	1	0	2	0	1	0	1	1	2	1
562.23796	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23800	1	2	2	0	2	2	1	2	1	0	1	1	2	2
562.23804	1	2	2	2	2	2	1	2	0	0	1	1	2	2
562.23821	1	2	2	2	2	2	1	2	2	0	1	1	2	2
562.23822	1	2	2	0	2	2	1	2	0	1	0	0	2	2
562.23832	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23837	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23850	1	2	2	1	2	2	1	2	0	0	1	1	2	2
562.23858	1	2	2	0	2	2	1	2	2	1	0	1	2	2
562.23859	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23860	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23868	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23869	1	2	2	1	2	2	1	2	1	1	1	1	2	2
562.23874	1	2	2	2	2	2	1	2	0	0	1	1	2	2
562.23884	1	2	2	2	2	2	1	2	2	2	1	1	2	2
562.23888	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23894	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23895	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23899	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23900	1	2	2	0	2	2	0	2	0	0	0	0	2	2
562.23901	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23909	1	2	2	1	2	2	1	2	0	1	1	1	2	2
562.23911	1	2	2	0	2	2	1	2	0	0	1	1	2	2
562.23923	1	2	2	0	2	2	1	2	0	0	0	0	2	2
562.23928	1	2	2	0	2	2	1	2	0	0	0	1	2	2
562.28131	1	2	2	1	1	1	2	1	1	1	1	1	1	1
562.28132	1	2	2	1	1	1	2	1	1	1	1	1	1	1
562.28434	1	1	1	1	1	1	2	2	2	1	1	2	1	1
562.28563	1	1	1	1	1	0	2	2	1	0	1	2	1	1
562.28566	1	1	0	1	1	1	2	2	1	0	1	2	1	1
562.28567	1	1	1	1	1	1	2	2	2	0	1	2	0	1
562.28805	1	0	1	1	1	1	2	2	0	1	1	2	1	1
562.29003	1	0	0	0	0	0	2	2	0	0	0	2	1	0
562.29006	1	1	2	1	1	0	2	2	2	0	1	2	1	1
562.29007	1	1	1	1	1	1	2	2	1	1	1	2	1	1
562.29008	1	1	1	1	1	1	2	2	1	0	1	2	1	1
562.29139	1	1	0	1	1	0	2	2	0	0	1	2	0	1
562.30349	1	2	1	1	1	2	1	2	1	0	1	1	1	1
562.30362	1	1	0	1	1	0	2	2	2	0	1	2	1	1
562.30434	1	1	0	1	0	1	2	2	1	0	1	2	1	1
562.30435	1	2	1	1	1	1	2	2	1	2	1	2	1	1
562.33281	1	1	0	1	1	1	2	2	1	0	1	2	1	1
562.34085	1	1	1	0	1	1	2	2	2	1	1	2	1	1
562.34088	1	1	0	0	2	0	2	2	0	0	2	2	0	1
562.42634	1	0	1	1	2	0	2	2	1	1	2	2	1	1
562.42635	1	1	1	1	2	1	2	2	1	0	2	2	1	1
562.42636	1	0	0	0	2	0	2	2	0	0	2	2	0	1
562.42637	1	0	0	0	2	0	2	2	0	0	2	2	0	1
562.42638	1	2	0	0	2	0	2	2	0	0	2	2	1	1
562.42639	1	2	0	1	2	2	2	2	0	0	2	2	1	1
562.42640	1	0	0	0	2	0	2	2	0	0	2	2	0	1
562.42641	1	2	2	0	2	1	2	2	2	0	2	2	1	1
562.42643	1	0	0	0	2	1	2	2	0	0	2	2	0	1
562.42644	1	0	0	0	2	0	2	2	0	0	2	2	1	1
562.42645	1	0	0	0	2	0	2	2	0	0	2	2	1	1
562.42646	1	0	0	0	2	1	2	2	0	0	2	2	0	1
562.42647	1	0	1	1	2	2	2	2	2	1	2	2	1	1
562.42648	1	0	0	2	2	2	2	2	0	0	2	2	1	1
562.42649	1	1	1	2	2	2	2	2	2	0	2	2	1	1
562.42650	1	0	0	1	2	1	2	2	0	0	2	2	1	1
562.42651	1	2	0	1	2	2	2	2	0	0	2	2	1	1
562.42652	1	0	0	1	2	1	2	2	0	0	2	2	1	1
562.42653	1	0	2	1	2	0	2	2	0	1	2	2	1	1
562.42654	1	1	0	1	2	0	2	2	1	0	2	2	1	1
562.42655	1	2	1	0	2	2	2	2	2	0	2	2	1	1
562.42657	1	2	2	1	1	1	2	2	2	0	2	2	1	1
562.42658	1	0	1	1	2	1	2	2	0	0	2	2	1	1
562.42659	1	0	0	1	2	1	2	2	0	0	2	2	1	1
562.42660	1	1	1	1	2	1	2	2	1	1	2	2	1	1
562.42661	1	0	2	1	2	1	2	2	0	1	2	2	0	1
562.42662	1	1	1	1	2	1	2	2	2	1	2	2	1	2
562.42663	1	0	0	1	2	0	2	2	0	1	2	2	1	1
562.42664	1	0	1	1	2	1	2	2	1	0	2	2	1	1
562.42665	1	1	1	1	2	1	2	2	1	1	2	2	1	1
562.42666	1	2	0	0	0	0	2	2	0	1	2	2	0	2
562.42667	1	0	2	1	2	0	2	2	0	1	2	2	0	1
562.42669	1	0	0	1	2	1	2	2	0	0	2	2	0	1
562.42670	1	2	1	1	2	1	2	2	0	1	2	2	0	1
562.42671	1	2	1	1	2	0	2	2	0	1	2	2	0	1
562.42672	1	0	1	2	2	1	2	2	0	0	2	2	0	1
562.42673	1	0	2	0	2	0	2	2	0	0	2	2	1	1
562.42675	1	2	2	1	2	1	2	2	0	1	2	2	0	1
562.42677	1	1	1	1	2	1	2	2	1	1	2	2	0	1
562.42678	1	1	1	1	2	1	2	2	1	1	2	2	1	1
562.42679	1	1	1	1	2	1	2	2	1	1	2	2	1	1
562.42680	1	1	1	1	2	1	2	2	1	1	2	2	0	1
562.42683	1	0	0	1	2	0	2	2	0	0	2	2	0	1
562.42685	1	0	1	1	2	0	2	2	2	1	2	2	1	1
562.42686	1	2	2	2	0	2	2	2	2	1	1	2	1	1
562.42687	1	0	0	1	2	1	2	2	1	0	2	2	1	1
562.42693	1	2	1	1	2	0	2	2	0	1	2	2	0	1
562.42694	1	1	0	1	2	0	2	2	0	0	2	2	1	1
562.42695	1	0	0	0	2	1	2	2	0	0	2	2	0	1
562.42696	1	0	1	1	2	0	2	2	2	0	2	2	0	1
562.42698	1	0	1	0	2	0	2	2	2	0	2	2	1	1
562.42699	1	0	0	0	2	0	2	2	0	0	2	2	0	1
562.42700	1	2	0	1	2	0	2	2	0	0	2	2	1	1
562.42701	1	1	0	0	2	0	2	2	0	0	2	2	0	1
562.42702	1	2	1	1	2	1	2	2	2	1	2	2	0	1
562.42706	1	0	1	1	2	0	2	2	0	0	2	2	1	1
562.42710	1	1	0	1	2	1	2	2	1	0	2	2	1	1
562.42711	1	1	1	1	2	1	2	2	0	1	2	2	1	1
562.42712	1	0	0	0	2	0	2	2	0	0	2	2	1	1
562.42713	1	2	1	1	2	0	2	2	0	1	2	2	1	1
562.42714	1	1	1	1	2	1	2	2	2	1	2	2	1	1
562.42718	1	0	2	0	2	0	2	2	0	1	2	2	0	1
562.42719	1	0	0	0	2	0	2	2	0	0	2	2	1	1
562.42720	1	0	2	0	2	0	2	2	0	1	2	2	0	1
562.42722	1	0	0	1	2	0	2	2	0	0	2	2	1	1
562.42723	1	2	0	1	2	0	2	2	0	0	2	2	0	1
562.42725	1	0	0	0	2	0	2	2	0	0	2	2	1	1
562.42726	1	0	0	0	2	0	2	2	0	0	2	2	1	1
562.42727	1	0	0	0	2	0	2	2	0	0	2	2	1	1
562.42729	1	0	1	1	2	0	2	2	0	1	2	2	1	1
