	chloramphenicol	erythromycin	penicillin	trimethoprim_sulfamethoxazole	tetracycline
760787.3	0	1	0	2	0
760788.3	0	1	2	0	0
760790.3	0	1	1	1	0
760791.3	0	1	2	1	0
760792.3	0	1	1	1	0
760793.3	0	0	0	0	0
760794.3	0	1	0	0	0
760795.3	0	1	1	1	1
760797.3	0	1	1	1	0
760799.3	0	1	1	1	1
760800.3	0	1	0	0	1
760801.3	0	1	1	1	1
760802.3	0	1	1	1	0
760803.3	0	1	0	0	0
760804.3	0	0	1	1	0
760805.3	0	0	1	1	0
760808.3	0	1	2	1	0
760809.3	0	1	2	1	1
760810.3	0	1	0	2	0
760811.3	0	1	2	1	0
760812.3	0	1	2	1	0
760813.3	0	1	1	1	0
760815.3	0	1	1	1	0
760816.3	0	1	1	1	0
760817.3	0	1	2	1	0
760818.3	0	0	1	1	0
760819.3	0	0	0	0	0
760820.3	0	1	1	1	0
760821.3	0	1	2	0	1
760822.3	0	1	1	1	1
760824.3	0	1	1	1	0
760825.3	0	1	1	1	0
760826.3	0	1	2	1	0
760827.3	0	1	1	1	0
760828.3	0	1	2	1	0
760829.3	0	1	2	0	1
760830.3	0	1	2	2	1
760831.3	0	1	1	1	1
760832.3	0	0	0	0	0
760833.3	0	0	0	0	0
760834.3	0	1	1	1	0
760835.3	0	0	0	0	0
760837.3	0	1	1	1	0
760838.3	0	1	2	0	0
760840.3	0	1	2	2	1
760841.3	0	1	0	0	0
760843.3	0	1	1	1	1
760845.3	0	1	1	1	0
760846.3	0	1	0	0	0
760847.3	0	1	1	1	1
760848.3	0	1	2	2	1
760850.3	0	0	0	0	0
760851.3	0	1	1	1	1
760852.3	0	1	0	2	0
760854.3	0	1	1	1	0
760855.3	0	1	1	1	1
760856.3	0	1	1	1	0
760858.3	0	1	2	1	1
760859.3	0	1	1	1	0
760861.3	0	0	0	0	0
760862.3	0	0	1	2	0
760863.3	0	0	2	2	0
760864.3	0	0	1	2	0
760866.3	0	0	1	2	0
760867.3	0	1	1	2	1
760868.3	0	1	1	2	1
760869.3	0	1	1	2	1
760871.3	0	1	1	2	1
760872.3	0	1	1	2	1
760873.3	0	1	1	2	1
760876.3	0	1	1	2	0
886289.3	0	1	1	1	0
1313.17318	2	1	0	0	0
1313.17323	2	1	0	0	0
1313.17326	2	1	0	0	0
1313.17334	2	1	1	0	1
1313.17351	2	1	0	0	0
1313.17352	2	1	0	0	0
1313.17353	2	1	1	1	1
1313.17373	2	1	0	0	0
1313.17376	2	1	0	0	0
1313.17381	2	1	0	0	0
1313.17386	2	1	0	0	0
1313.17389	2	1	0	0	0
1313.17393	2	1	0	0	0
1313.17395	2	1	0	0	0
1313.17397	2	1	0	0	0
1313.17400	2	1	0	0	0
1313.17412	2	1	0	0	0
1313.17415	2	1	0	0	0
1313.17419	2	1	0	0	0
1313.17430	2	1	0	0	0
1313.17438	2	1	0	0	0
1313.17442	2	1	0	0	0
1313.17445	2	1	0	0	0
1313.17447	2	1	0	0	0
1313.17448	2	1	0	0	0
1313.5418	2	1	1	2	2
1313.5499	2	1	1	2	2
1313.5648	2	1	2	2	1
1313.5678	2	1	2	2	1
1313.5881	2	1	2	2	1
1313.5988	2	1	1	2	1
1313.6272	2	1	1	2	1
1313.6293	2	1	1	2	1
1313.6724	2	1	1	2	1
1313.6726	2	1	1	2	1
1313.6729	2	1	1	2	2
760877.3	2	1	2	0	0
760878.3	2	1	1	0	1
760879.3	2	1	0	2	0
760880.3	2	1	1	0	0
760881.3	2	1	0	0	0
1313.17314	2	0	0	0	0
1313.17315	2	0	0	0	0
1313.17316	2	0	0	0	0
1313.17317	2	0	0	0	0
1313.17319	2	0	0	0	0
1313.17320	2	0	0	0	0
1313.17321	2	0	0	0	0
1313.17322	2	0	0	0	0
1313.17324	2	0	0	0	0
1313.17325	2	0	0	0	0
1313.17327	2	0	0	0	0
1313.17328	2	0	0	0	0
1313.17329	2	0	0	0	0
1313.17330	2	0	0	0	0
1313.17331	2	0	0	0	0
1313.17332	2	0	0	0	0
1313.17333	2	0	0	0	0
1313.17335	2	0	0	0	0
1313.17336	2	0	0	0	0
1313.17337	2	0	0	0	0
1313.17338	2	0	0	0	0
1313.17339	2	0	0	0	0
1313.17340	2	0	0	0	0
1313.17341	2	0	0	0	0
1313.17342	2	0	0	0	0
1313.17343	2	0	0	0	0
1313.17344	2	0	0	0	0
1313.17345	2	0	0	0	0
1313.17346	2	0	0	0	0
1313.17347	2	0	0	2	1
1313.17348	2	0	0	0	0
1313.17349	2	0	0	0	0
1313.17350	2	0	0	0	0
1313.17354	2	0	0	0	0
1313.17355	2	0	0	0	0
1313.17356	2	0	0	0	0
1313.17357	2	0	0	0	0
1313.17358	2	0	0	0	0
1313.17359	2	0	0	0	0
1313.17360	2	0	0	0	0
1313.17361	2	0	0	0	0
1313.17362	2	0	0	0	0
1313.17363	2	0	0	0	0
1313.17364	2	0	0	0	0
1313.17365	2	0	0	0	0
1313.17366	2	0	0	0	0
1313.17367	2	0	0	0	0
1313.17368	2	0	0	0	0
1313.17369	2	0	0	0	0
1313.17370	2	0	0	0	0
1313.17371	2	0	0	0	0
1313.17372	2	0	0	0	0
1313.17374	2	0	0	2	0
1313.17375	2	0	0	0	0
1313.17377	2	0	0	0	0
1313.17378	2	0	0	0	0
1313.17379	2	0	0	0	0
1313.17380	2	0	0	0	0
1313.17382	2	0	0	0	0
1313.17383	2	0	0	0	0
1313.17384	2	0	0	0	0
1313.17385	2	0	0	0	0
1313.17387	2	0	0	0	0
1313.17388	2	0	0	0	0
1313.17390	2	0	0	0	0
1313.17391	2	0	0	0	0
1313.17392	2	0	0	0	0
1313.17394	2	0	0	0	0
1313.17396	2	0	0	0	0
1313.17398	2	0	0	0	0
1313.17399	2	0	0	0	0
1313.17401	2	0	0	0	0
1313.17402	2	0	0	0	0
1313.17403	2	0	0	0	0
1313.17404	2	0	0	0	0
1313.17405	2	0	0	0	0
1313.17406	2	0	0	0	0
1313.17407	2	0	0	0	0
1313.17408	2	0	0	0	0
1313.17409	2	0	0	0	0
1313.17410	2	0	0	0	0
1313.17411	2	0	0	0	0
1313.17413	2	0	0	0	0
1313.17414	2	0	0	0	0
1313.17416	2	0	0	0	0
1313.17417	2	0	0	0	0
1313.17418	2	0	0	0	0
1313.17420	2	0	0	0	0
1313.17421	2	0	0	0	0
1313.17422	2	0	0	0	0
1313.17423	2	0	0	0	0
1313.17424	2	0	0	0	0
1313.17425	2	0	0	0	0
1313.17426	2	0	0	0	0
1313.17427	2	0	0	0	0
1313.17428	2	0	0	0	0
1313.17429	2	0	0	0	0
1313.17431	2	0	0	0	0
1313.17432	2	0	0	0	0
1313.17433	2	0	0	0	0
1313.17434	2	0	0	0	0
1313.17435	2	0	0	0	0
1313.17436	2	0	0	0	0
1313.17437	2	0	0	0	0
1313.17439	2	0	0	0	0
1313.17440	2	0	0	0	0
1313.17441	2	0	0	0	0
1313.17443	2	0	0	0	0
1313.17444	2	0	0	0	0
1313.17446	2	0	0	0	0
1313.17449	2	0	0	0	0
1313.17450	2	0	0	0	0
1313.9762	2	0	2	2	1
1313.9852	2	0	2	2	1
760860.3	2	0	0	0	0
1313.5981	2	2	1	2	1
1313.6723	2	2	1	2	1
760865.3	2	2	1	2	2
760870.3	2	2	1	2	2
1313.10000	2	2	2	1	2
1313.10002	2	2	2	1	2
1313.10005	2	2	2	1	2
1313.10007	2	2	2	1	2
1313.10009	2	2	2	1	2
1313.10010	2	2	2	1	2
1313.10012	2	2	2	1	2
1313.10015	2	2	2	1	2
1313.10016	2	2	2	1	2
1313.10017	2	2	2	1	2
1313.10021	2	2	2	1	2
1313.10023	2	2	2	1	2
1313.10024	2	2	2	1	2
1313.10027	2	2	2	1	2
1313.10028	2	2	2	1	2
1313.10030	2	2	2	1	2
1313.10031	2	2	2	1	2
1313.10033	2	2	2	1	2
1313.10034	2	2	2	1	2
1313.10035	2	2	2	1	2
1313.10036	2	2	2	1	2
1313.10037	2	2	2	1	2
1313.10038	2	2	2	1	2
1313.10040	2	2	2	1	2
1313.10041	2	2	2	1	2
1313.10042	2	2	2	1	2
1313.10044	2	2	2	1	2
1313.10045	2	2	2	1	2
1313.10046	2	2	2	1	2
1313.10047	2	2	2	1	2
1313.10048	2	2	2	1	2
1313.10049	2	2	2	1	2
1313.10050	2	2	2	1	2
1313.10051	2	2	2	1	2
1313.10052	2	2	2	1	2
1313.10053	2	2	2	1	2
1313.10054	2	2	2	1	2
1313.10056	2	2	2	1	2
1313.10057	2	2	2	1	2
1313.10058	2	2	2	1	2
1313.10060	2	2	2	1	2
1313.10062	2	2	2	1	2
1313.10063	2	2	2	1	2
1313.10064	2	2	2	1	2
1313.10065	2	2	2	1	2
1313.10066	2	2	2	1	2
1313.10067	2	2	2	1	2
1313.10068	2	2	2	1	2
1313.10071	2	2	2	1	2
1313.10073	2	2	2	1	2
1313.10074	2	2	2	1	2
1313.10075	2	2	2	1	2
1313.10078	2	2	2	1	2
1313.10079	2	2	2	1	2
1313.10081	2	2	2	1	2
1313.10082	2	2	2	1	2
1313.10083	2	2	2	1	2
1313.10084	2	2	2	1	2
1313.10085	2	2	2	1	2
1313.10086	2	2	2	1	2
