	tetracycline	trimethoprim_sulfamethoxazole	clindamycin	ciprofloxacin	methicillin	oxacillin	gentamicin	erythromycin	penicillin
1280.7937	0	2	2	1	0	2	0	0	1
1280.7938	0	2	2	1	1	2	0	0	1
1280.7939	0	2	2	0	0	2	0	0	1
1280.7940	0	2	2	0	0	2	0	0	0
1280.7941	0	2	2	0	0	2	0	0	1
1280.7944	0	2	2	0	0	2	0	0	1
1280.7946	0	2	2	0	0	2	0	0	1
1280.7948	0	2	2	0	0	2	0	1	1
1280.7949	0	2	2	0	0	2	0	0	1
1280.7950	0	2	2	0	0	2	0	0	1
1280.7953	0	2	2	0	0	2	0	0	1
1280.7957	0	2	2	0	0	2	0	1	1
1280.7959	0	2	2	0	0	2	0	0	1
1280.7960	0	2	2	0	0	2	0	0	1
1280.7961	0	2	2	0	0	2	0	0	0
1280.7962	0	2	2	0	0	2	0	0	1
1280.7964	0	2	2	0	0	2	0	0	0
1280.7965	0	2	2	0	0	2	0	0	1
1280.7966	0	2	2	0	0	2	0	0	1
1280.7968	0	2	2	0	0	2	0	0	1
1280.7969	0	2	2	0	0	2	0	0	0
1280.7970	0	2	2	0	0	2	0	0	1
1280.7973	0	2	2	0	0	2	0	0	1
1280.7977	0	2	2	0	0	2	0	0	1
1280.7979	0	2	2	0	0	2	0	0	1
1280.7980	0	2	2	0	0	2	0	0	1
1280.7983	0	2	2	0	0	2	0	0	1
1280.7985	0	2	2	1	1	2	0	1	1
1280.7986	0	2	2	0	0	2	0	0	1
1280.7987	0	2	2	0	0	2	0	0	0
1280.7990	0	2	2	0	0	2	0	0	1
1280.7991	0	2	2	0	0	2	0	1	1
1280.7992	0	2	2	0	0	2	0	0	1
1280.7994	0	2	2	0	0	2	0	0	1
1280.7996	0	2	2	0	0	2	0	0	1
1280.7998	0	2	2	0	0	2	0	0	1
1280.8001	0	2	2	0	0	2	0	0	1
1280.8004	0	2	2	1	1	2	0	1	1
1280.8008	0	2	2	1	1	2	0	1	1
1280.8018	0	2	2	1	1	2	0	0	1
1280.8032	0	2	2	0	0	2	0	0	1
1280.8034	0	2	2	0	0	2	0	0	1
1280.8037	0	2	2	0	0	2	0	0	1
1280.8039	0	2	2	0	0	2	0	0	1
1280.8040	0	2	2	0	0	2	0	0	1
1280.8042	0	2	2	0	0	2	0	0	1
1280.8043	0	2	2	0	0	2	0	0	1
1280.8044	0	2	2	0	0	2	0	0	1
1280.8046	0	2	2	0	0	2	0	0	1
1280.8047	0	2	2	0	0	2	0	0	1
1280.8051	0	2	2	0	0	2	0	0	1
1280.8052	0	2	2	0	0	2	0	0	0
1280.8053	0	2	2	0	0	2	0	0	1
1280.8054	0	2	2	0	0	2	0	0	1
1280.8056	0	2	2	1	1	2	0	1	1
1280.8059	0	2	2	0	0	2	0	0	1
1280.8060	0	2	2	0	0	2	0	0	0
1280.8063	0	2	2	0	0	2	0	0	1
1280.8066	0	2	2	1	1	2	0	1	1
1280.8067	0	2	2	0	0	2	0	0	1
1280.8070	0	2	1	1	1	2	0	1	1
1280.8072	0	2	1	1	1	2	1	1	1
1280.8073	0	2	2	1	1	2	0	1	1
1280.8075	0	2	2	1	1	2	0	1	1
1280.8076	0	2	0	0	0	2	0	0	1
1280.8077	0	2	2	1	1	2	0	1	1
1280.8081	0	2	0	0	0	2	0	0	0
1280.8084	0	2	0	0	0	2	0	0	1
1280.8087	0	2	0	0	0	2	0	0	0
1280.8088	0	2	1	1	0	2	0	1	1
1280.8089	0	2	0	0	0	2	0	0	0
1280.8090	0	2	1	1	0	2	0	1	1
1280.8093	0	2	0	0	0	2	0	0	0
1280.8094	0	2	2	0	0	2	0	0	1
1280.8096	0	2	2	0	0	2	0	0	1
1280.8097	0	2	0	0	0	2	0	0	1
1280.8098	0	2	0	0	0	2	0	0	1
1280.8099	0	2	2	0	0	2	0	0	1
1280.8100	0	2	2	0	0	2	0	0	0
1280.8101	0	2	0	0	0	2	0	0	1
1280.8103	0	2	0	0	0	2	0	0	1
1280.8105	0	2	0	0	0	2	0	0	1
1280.8106	0	2	1	0	0	2	0	1	0
1280.8107	0	2	2	0	0	2	0	1	0
1280.8108	0	2	0	0	0	2	0	0	1
1280.8109	0	2	0	0	0	2	0	0	1
1280.8110	0	2	2	0	0	2	0	0	1
1280.8117	0	2	0	0	0	2	0	0	1
1280.8118	0	2	0	0	0	2	0	0	1
1280.8122	0	2	2	0	0	2	0	0	0
1280.8123	0	2	2	0	0	2	0	1	1
1280.8124	0	2	2	0	0	2	0	1	1
1280.8126	0	2	2	0	0	2	0	1	1
1280.8127	0	2	0	0	0	2	0	0	1
1280.8129	0	2	2	0	0	2	0	0	1
1280.8130	0	2	2	0	0	2	0	0	1
1280.8133	0	2	0	0	0	2	0	0	1
1280.8134	0	2	0	0	0	2	0	0	1
1280.8135	0	2	0	0	0	2	0	0	1
1280.8136	0	2	0	0	0	2	0	0	1
1280.8137	0	2	0	0	0	2	0	0	1
1280.8138	0	2	1	0	0	2	0	1	1
1280.8146	0	2	0	0	0	2	0	0	1
1280.8147	0	2	2	0	0	2	0	0	1
1280.8149	0	2	2	0	0	2	0	0	1
1280.8150	0	2	1	0	0	2	0	1	1
1280.8151	0	2	1	0	0	2	0	1	0
1280.8152	0	2	0	0	0	2	0	0	1
1280.8154	0	2	0	0	0	2	0	0	1
1280.8155	0	2	0	0	0	2	0	0	1
1280.8157	0	2	2	0	0	2	0	0	0
1280.8158	0	2	1	1	1	2	0	1	1
