ARO Accession	CVTERM ID	ARO Name	PMID	DOI	ISBN
ARO:3000116	36255	vanZ	16323116
ARO:3000117	36256	antibiotic A47934	12060705;16492565;9435111;17884639
ARO:3002464	38864	LEN-16	15980410
ARO:3002466	38866	LEN-19	19128913
ARO:3002467	38867	LEN-20	19128913
ARO:3000567	36706	tet(40)	18779355
ARO:3001039	37419	TEM-173	21903826
ARO:3002536	38936	AAC(3)-IIIa	1649572
ARO:3002381	38781	SME-3	17005839
ARO:3000461	36600	florfenicol	15539072
ARO:3003048	39482	rosA	10931306
ARO:3000497	36636	ethambutol	18242089
ARO:3003052	39486	smeB	11796339
ARO:0010003	36004	small multidrug resistance (SMR) antibiotic efflux pump	17942072
ARO:3002554	38954	AAC(6')-Ig	8257129;7810994
ARO:3002555	38955	AAC(6')-Ih	7810994
ARO:3002556	38956	AAC(6')-Ii	12767240;10378269;8239603
ARO:3001322	37721	phenelfamycin G	21285962
ARO:3001323	37722	phenelfamycin H	21285962
ARO:3001309	37708	cyclic thiazolyl peptide elfamycin	12370016
ARO:3001312	37711	elfamycin resistant EF-Tu	7525272;10610785;7957075;12370016;7925958;8899707
ARO:3001313	37712	facT		10.1039/C2MD20038D
ARO:3002580	38980	AAC(6')-Ib9	9835500
ARO:3002559	38959	AAC(6')-Ip	11557456;9021185;7793874
ARO:3002488	38888	LRA-9	18843302
ARO:3002655	39055	APH(4)-Ia	6314265
ARO:3002489	38889	LRA-10	18843302
ARO:0000051	35968	tetracycline	19862477;11381101
ARO:0000070	35987	ertapenem	27572414;12951340
ARO:3000114	36253	aminoglycoside phosphotransferase (APH)	20833577;9872733
ARO:3003032	39466	MexXY-OprM	23233851;21149619;12654672;9925549
ARO:3003033	39467	mexY	9925549
ARO:3001250	37649	phenelfamycin B	2921230;3192490;3192489
ARO:3003036	39470	oleB	9003412
ARO:3000602	36741	Erm(39)	15590712
ARO:3000603	36742	Erm(41)	27244062
ARO:3001463	37863	OXA-158	26349828
ARO:3000844	37224	TUS-1	12384365
ARO:3000565	36704	tet(38)	15774883
ARO:3000566	36705	tet(39)	15761075
ARO:3000536	36675	Streptomyces spheroides novobiocin biosynthetic gene cluster	10801869;10770754
ARO:3001237	37636	GE2270A	20111801;20522549;10625477;8899707;16734421
ARO:3001242	37641	enacyloxin IIa	8665868;12370016
ARO:3001246	37645	kirrothricin	7142013
ARO:3001247	37646	azimycin	3904612
ARO:3001258	37657	L-681,217	3781906
ARO:3001248	37647	dihydromocimycin	2272911;3781906
ARO:3001260	37659	amythiamicin A	7706132
ARO:3001249	37648	phenelfamycin A	2921230;3192490;3192489
ARO:3001251	37650	phenelfamycin C	2921230;3192490;3192489
ARO:3001252	37651	phenelfamycin D	2921230;3192490;3192489
ARO:3001253	37652	phenelfamycin E	2921230;3192490;3192489
ARO:3001256	37655	phenelfamycin F	2921230;3192490;3192489
ARO:3000531	36670	baeSR	15716448;12107134
ARO:3003038	39472	MexXY-OprA	22282519
ARO:3000918	37298	TEM-49	9517925
ARO:3000628	36972	polymyxin B4	11330807
ARO:3003043	39477	Streptococcus pneumoniae PBP2x conferring resistance to amoxicillin	18394970
ARO:3000789	37169	mdsA	17919284;20497225
ARO:3003007	39441	bmr	9079903;1675788
