	isoniazid	rifampin	ethambutol	pyrazinamide	amikacin	capreomycin	ethionamide	kanamycin	ofloxacin	para_aminosalicylic_acid	streptomycin	moxifloxacin	prothionamide	cycloserine	rifabutin	pyrazinamide_nicotinamide	nicotinamide
GCA_001380995.1	1	1	0	0	0	0	2	2	1	2	1	0	1	2	2	2	2
GCA_001323265.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001381135.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001381255.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001381415.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001384815.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001384975.1	1	1	0	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001382315.1	1	1	0	0	0	0	2	2	0	2	0	0	0	2	2	2	2
GCA_001382335.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001382455.1	1	1	0	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001382575.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001324005.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001380115.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001379615.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001323025.1	1	1	0	1	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001384735.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001383335.1	1	1	1	0	1	1	2	2	0	2	1	0	0	2	2	2	2
GCA_001383155.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001382175.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001323185.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001380715.1	1	0	0	1	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001323225.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001381075.1	1	1	0	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001381155.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001381095.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001324265.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001385755.1	1	1	1	0	0	0	2	2	2	2	1	0	0	2	2	2	2
GCA_001384315.1	1	1	0	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001323765.1	1	1	1	0	0	1	2	2	1	2	1	2	0	2	2	2	2
GCA_001382915.1	1	1	0	0	1	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001382835.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001381815.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001381615.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001380035.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001378875.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001378775.1	1	1	0	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001378475.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001383675.1	1	1	0	1	0	0	2	2	0	2	1	2	2	2	2	2	2
GCA_001383035.1	1	1	1	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001323885.1	1	1	1	1	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001383395.1	1	1	0	1	0	0	2	2	0	2	0	0	1	2	2	2	2
GCA_001380895.1	1	0	1	1	1	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001323165.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001380635.1	1	1	1	0	0	0	2	2	0	2	1	2	1	2	2	2	2
GCA_001380335.1	1	1	1	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001323085.1	1	1	0	0	1	1	2	2	1	2	1	1	1	2	2	2	2
GCA_001384935.1	1	1	1	2	1	1	2	2	0	2	1	0	0	2	2	2	2
GCA_001385015.1	1	1	0	0	0	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001385455.1	1	1	0	0	0	0	2	2	0	2	1	2	1	2	2	2	2
GCA_001385655.1	1	1	1	0	1	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001385535.1	1	1	1	1	1	1	2	2	1	2	1	1	0	2	2	2	2
GCA_001383995.1	1	1	1	0	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001384195.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001384055.1	1	1	1	1	1	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001380615.1	1	1	1	1	1	1	2	2	1	2	1	1	0	2	2	2	2
GCA_001380375.1	1	1	1	0	0	0	2	2	1	2	1	0	1	2	2	2	2
GCA_001381355.1	1	1	1	1	1	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001323305.1	1	1	0	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001380075.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001380255.1	1	0	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001384715.1	1	1	1	1	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001384535.1	1	1	0	1	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001384355.1	1	1	0	0	0	0	2	2	1	2	1	0	1	2	2	2	2
GCA_001385315.1	1	1	1	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001383435.1	1	1	0	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001382995.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001383795.1	1	1	0	0	1	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001381695.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001381475.1	1	1	0	0	0	0	2	2	1	2	1	1	1	2	2	2	2
GCA_001323645.1	1	1	1	1	1	1	2	2	0	2	1	0	1	2	2	2	2
GCA_001382395.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001382495.1	1	0	0	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001323045.1	1	1	1	1	0	0	2	2	1	2	1	1	0	2	2	2	2
GCA_001378755.1	1	1	1	0	0	0	2	2	0	2	1	0	1	2	2	2	2
GCA_001378895.1	1	1	1	1	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001378975.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001379395.1	1	1	0	0	0	0	2	2	0	2	1	0	0	2	2	2	2
GCA_001383075.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001323865.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001383615.1	1	1	0	0	0	0	2	2	0	2	1	2	0	2	2	2	2
GCA_001384015.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001384135.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001382275.1	1	0	0	1	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001385155.1	1	0	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2
GCA_001385095.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
GCA_001379095.1	1	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2
