	methicillin	clindamycin	erythromycin	penicillin	ciprofloxacin	gentamicin	tetracycline	cefoxitin	levofloxacin	oxacillin	trimethoprim_sulfamethoxazole	moxifloxacin	penicillin_clavulanic_acid
GCA_015717205.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717265.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717235.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717505.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717275.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717085.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717145.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715515.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715505.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715465.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715475.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715605.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715545.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715585.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715555.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015715385.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015712315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717485.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717525.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716905.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716885.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716865.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716805.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716825.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716785.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716755.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716835.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716685.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015716745.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717515.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717325.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717595.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717345.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717305.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_015717395.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000260315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000639355.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638215.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684595.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637395.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637215.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637495.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637515.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637535.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637555.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637575.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637595.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637615.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637655.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684615.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684955.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684915.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684895.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636215.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684875.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636175.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636195.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640215.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640015.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640055.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640075.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640095.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640115.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640135.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640155.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000639995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638435.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637975.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638135.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637195.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684635.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638275.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638355.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638315.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638335.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684735.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638155.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638175.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637115.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637155.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637175.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637735.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638035.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638075.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638095.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637995.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638015.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638055.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638115.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636915.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636395.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636415.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636435.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636455.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636475.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636375.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636495.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636515.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636535.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636555.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636575.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636595.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684795.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636615.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636635.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636655.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636675.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636695.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636715.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000636735.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000637635.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000639015.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000639035.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000639055.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000639955.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000639975.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640475.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640495.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000684295.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000640515.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638775.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638855.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638575.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638595.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638555.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638515.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638655.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638535.1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_000638835.1	1	2	2	2	2	2	2	2	2	2	2	2	2
