	cefixime	penicillin	azithromycin	ciprofloxacin	tetracycline	erythromycin
GCA_042021125.1	0	1	0	0	0	2
GCA_042021185.1	0	1	0	0	0	2
GCA_042021005.1	0	1	0	2	0	2
GCA_042021045.1	0	1	0	2	0	2
GCA_042013885.1	0	1	0	0	0	2
GCA_042013905.1	0	1	0	0	1	2
GCA_042013965.1	0	1	0	2	1	2
GCA_042013925.1	0	1	0	2	0	2
GCA_042013985.1	0	1	0	0	1	2
GCA_042013945.1	0	1	0	0	0	2
GCA_042014005.1	0	1	0	2	0	2
GCA_042014025.1	0	1	0	2	1	2
GCA_042013865.1	0	1	0	0	0	2
GCA_042013845.1	0	1	0	0	1	2
GCA_042019935.1	0	1	0	0	0	2
GCA_042019975.1	0	1	0	2	1	2
GCA_042019995.1	0	1	0	0	0	2
GCA_042019915.1	0	1	0	0	0	2
GCA_042019805.1	0	0	0	0	0	2
GCA_042019865.1	0	1	0	0	0	2
GCA_042020575.1	0	1	0	1	1	2
GCA_042020095.1	0	1	0	0	0	2
GCA_042020015.1	0	1	0	0	0	2
GCA_042020035.1	0	1	0	0	0	2
GCA_041997825.1	0	1	0	0	0	2
GCA_042022095.1	0	1	1	1	1	2
GCA_042022075.1	0	1	0	0	0	2
GCA_042022015.1	0	1	0	1	1	2
GCA_042022435.1	0	1	0	0	0	2
GCA_042022355.1	0	1	0	1	1	2
GCA_041998945.1	0	1	0	0	0	2
GCA_042014065.1	0	1	0	0	1	2
GCA_042022055.1	0	1	0	0	0	2
GCA_042021995.1	0	1	0	0	0	2
GCA_042013765.1	0	1	0	1	1	2
GCA_042013705.1	0	1	0	0	1	2
GCA_042013725.1	0	1	0	1	1	2
GCA_042013785.1	0	1	1	1	1	2
GCA_042013645.1	0	1	0	0	0	2
GCA_042013665.1	0	1	0	0	0	2
GCA_042013685.1	0	1	0	0	0	2
GCA_042013745.1	0	1	0	1	1	2
GCA_042013805.1	0	1	0	0	0	2
GCA_042013825.1	0	1	0	0	0	2
GCA_042020845.1	0	1	0	0	0	2
GCA_042020895.1	0	0	0	0	0	2
GCA_042020825.1	0	1	0	0	1	2
GCA_042020785.1	0	1	1	1	1	2
GCA_042020945.1	0	1	0	0	0	2
GCA_042020925.1	0	1	0	0	0	2
GCA_042020885.1	0	1	0	0	0	2
GCA_042020865.1	0	1	0	1	1	2
GCA_042020985.1	0	1	0	0	0	2
GCA_042020965.1	0	1	0	0	0	2
GCA_042022155.1	0	1	0	0	1	2
GCA_042022115.1	0	1	0	0	0	2
GCA_042022295.1	0	1	0	0	0	2
GCA_042022375.1	0	1	0	0	0	2
GCA_042022335.1	0	1	1	1	1	2
GCA_042020075.1	0	1	0	2	0	2
GCA_042022415.1	0	1	0	0	0	2
GCA_042022395.1	0	1	0	0	0	2
GCA_042022235.1	0	1	0	0	0	2
GCA_042022175.1	0	1	0	0	1	2
GCA_041997145.1	0	1	0	0	0	2
GCA_041997165.1	0	1	0	0	0	2
GCA_041997225.1	0	1	0	0	0	2
GCA_041997185.1	0	1	0	0	1	2
GCA_041997245.1	0	1	0	0	0	2
GCA_041997205.1	0	1	0	0	0	2
GCA_041997285.1	0	0	0	0	0	2
GCA_041997265.1	0	1	0	0	0	2
