	chloramphenicol	trimethoprim_sulfamethoxazole	ampicillin	nalidixic_acid	ciprofloxacin	amoxicillin_clavulanic_acid	ceftriaxone	azithromycin	sulfisoxazole	cefoxitin	gentamicin	tetracycline	ceftiofur	kanamycin	enrofloxacin	streptomycin	ceftazidime	colistin	ampicillin_sulbactam	cefotaxime	spectinomycin	sulfamethoxazole	trimethoprim	cefazolin	sulphathiazole
GCA_008475165.1	1	0	1	0	0	0	0	0	1	0	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008408645.1	1	0	1	0	0	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008478965.1	1	0	1	0	0	1	1	0	1	1	1	1	1	1	2	1	2	2	2	2	2	2	2	2	2
GCA_008411755.1	0	0	1	1	0	0	0	0	0	0	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008475245.1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	2	2	2	2	2	2	2	2	2
GCA_001247195.1	1	0	1	0	0	1	1	0	1	0	0	1	0	2	2	1	2	2	2	2	2	2	2	2	2
GCA_008408685.1	0	0	1	0	0	0	0	0	1	0	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_008518745.1	1	0	1	0	0	1	1	0	1	1	0	1	1	2	2	1	2	2	2	2	2	2	2	2	2
GCA_007818075.1	1	0	0	0	0	0	0	2	1	0	0	1	0	0	2	1	2	2	2	2	2	2	2	2	2
GCA_006689645.1	1	0	1	0	0	1	1	2	2	2	0	1	1	0	2	2	2	2	2	2	2	1	2	2	2
GCA_006690825.1	1	0	1	0	0	1	1	2	2	2	0	1	1	0	2	1	2	2	2	2	2	1	2	2	2
GCA_010248115.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010250715.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010249355.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010249535.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010249415.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010250805.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010249695.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010249945.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010250355.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010250105.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010250295.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010250055.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010250895.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010251635.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010251175.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010251475.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010251035.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010251695.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010251875.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010252215.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_010252835.1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013278585.1	1	1	2	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_020528775.1	1	0	1	0	0	1	1	2	1	1	0	1	1	1	2	1	2	2	2	2	2	2	2	2	2
