	ampicillin	vancomycin	gentamicin	tetracycline	doxycycline	linezolid	streptomycin
GCA_015430945.1	1	1	2	2	2	2	2
GCA_015429785.1	1	1	2	2	2	2	2
GCA_015429305.1	1	1	2	2	2	2	2
GCA_015431125.1	1	0	2	2	2	2	2
GCA_015429705.1	1	1	2	2	2	2	2
GCA_015429245.1	1	0	2	2	2	2	2
GCA_015429445.1	1	1	2	2	2	2	2
GCA_015429465.1	1	0	2	2	2	2	2
GCA_015429365.1	1	0	2	2	2	2	2
GCA_015429725.1	1	1	2	2	2	2	2
GCA_015429265.1	1	0	2	2	2	2	2
GCA_015429125.1	1	0	2	2	2	2	2
GCA_015429065.1	1	1	2	2	2	2	2
GCA_015428865.1	1	1	2	2	2	2	2
GCA_015429045.1	1	0	2	2	2	2	2
GCA_015428945.1	1	1	2	2	2	2	2
GCA_015437105.1	1	0	2	2	2	2	2
GCA_015427805.1	1	1	2	2	2	2	2
GCA_015427365.1	1	1	2	2	2	2	2
GCA_015427005.1	1	1	2	2	2	2	2
GCA_015427305.1	1	2	2	2	2	2	2
GCA_015427725.1	1	2	2	2	2	2	2
GCA_015427645.1	1	1	2	2	2	2	2
GCA_015437045.1	1	1	2	2	2	2	2
GCA_015437005.1	1	1	2	2	2	2	2
GCA_015427745.1	1	0	2	2	2	2	2
GCA_015436965.1	1	0	2	2	2	2	2
GCA_015427025.1	1	1	2	2	2	2	2
GCA_015427445.1	1	1	2	2	2	2	2
GCA_015426985.1	1	1	2	2	2	2	2
GCA_015422425.1	1	1	2	2	2	2	2
GCA_015422185.1	1	1	2	2	2	2	2
GCA_015425065.1	1	0	2	2	2	2	2
GCA_015425085.1	1	0	2	2	2	2	2
GCA_018086105.1	1	1	2	2	2	2	2
GCA_015422265.1	1	1	2	2	2	2	2
GCA_015422385.1	1	1	2	2	2	2	2
GCA_015422345.1	1	0	2	2	2	2	2
GCA_015422765.1	1	1	2	2	2	2	2
GCA_015422605.1	1	1	2	2	2	2	2
GCA_015420985.1	1	0	2	2	2	2	2
GCA_015422285.1	1	1	2	2	2	2	2
GCA_015421125.1	1	1	2	2	2	2	2
GCA_015420965.1	1	1	2	2	2	2	2
GCA_015420565.1	1	1	2	2	2	2	2
GCA_015420585.1	1	0	2	2	2	2	2
GCA_015422305.1	1	1	2	2	2	2	2
GCA_015420465.1	1	0	2	2	2	2	2
GCA_045021975.1	1	0	2	2	2	2	2
GCA_015420805.1	1	0	2	2	2	2	2
GCA_015420605.1	1	0	2	2	2	2	2
GCA_015420895.1	1	0	2	2	2	2	2
GCA_015421305.1	1	0	2	2	2	2	2
GCA_015421245.1	1	0	2	2	2	2	2
GCA_015420745.1	1	0	2	2	2	2	2
GCA_015420425.1	1	0	2	2	2	2	2
GCA_015420945.1	1	0	2	2	2	2	2
GCA_015420765.1	1	0	2	2	2	2	2
GCA_015421145.1	1	1	2	2	2	2	2
GCA_045021735.1	1	0	2	2	2	2	2
GCA_015420445.1	1	0	2	2	2	2	2
GCA_015420335.1	1	0	2	2	2	2	2
GCA_015420265.1	1	0	2	2	2	2	2
GCA_015420405.1	1	1	2	2	2	2	2
GCA_015420325.1	1	0	2	2	2	2	2
GCA_015420305.1	1	0	2	2	2	2	2
GCA_015420225.1	1	0	2	2	2	2	2
GCA_015425685.1	1	0	2	2	2	2	2
GCA_015425345.1	1	0	2	2	2	2	2
GCA_015425705.1	1	0	2	2	2	2	2
GCA_015425745.1	1	0	2	2	2	2	2
GCA_015425545.1	1	0	2	2	2	2	2
GCA_015425465.1	1	0	2	2	2	2	2
GCA_042714065.1	1	0	2	2	2	2	2
GCA_045022595.1	1	0	2	2	2	2	2
GCA_015424905.1	1	1	2	2	2	2	2
GCA_045022545.1	1	0	2	2	2	2	2
GCA_015424385.1	1	0	2	2	2	2	2
GCA_015424565.1	1	1	2	2	2	2	2
GCA_015424725.1	1	1	2	2	2	2	2
GCA_015424815.1	1	1	2	2	2	2	2
GCA_015424785.1	1	1	2	2	2	2	2
GCA_015424765.1	1	1	2	2	2	2	2
GCA_015424705.1	1	1	2	2	2	2	2
GCA_018086165.1	1	1	2	2	2	2	2
GCA_015424625.1	1	1	2	2	2	2	2
GCA_015424685.1	1	1	2	2	2	2	2
GCA_015424645.1	1	1	2	2	2	2	2
GCA_015424605.1	1	1	2	2	2	2	2
GCA_015424485.1	1	0	2	2	2	2	2
GCA_015424965.1	1	1	2	2	2	2	2
GCA_015425125.1	1	1	2	2	2	2	2
GCA_015425205.1	1	1	2	2	2	2	2
GCA_017976765.1	1	1	2	2	2	2	2
GCA_018086145.1	1	1	2	2	2	2	2
GCA_015426945.1	1	0	2	2	2	2	2
GCA_015424245.1	1	1	2	2	2	2	2
GCA_015424145.1	1	1	2	2	2	2	2
GCA_015424125.1	1	1	2	2	2	2	2
GCA_015424185.1	1	1	2	2	2	2	2
GCA_015423985.1	1	1	2	2	2	2	2
GCA_015424085.1	1	1	2	2	2	2	2
GCA_015424105.1	1	1	2	2	2	2	2
GCA_015424025.1	1	1	2	2	2	2	2
GCA_015424265.1	1	1	2	2	2	2	2
GCA_015423965.1	1	1	2	2	2	2	2
GCA_015423925.1	1	1	2	2	2	2	2
GCA_015423945.1	1	1	2	2	2	2	2
GCA_015423845.1	1	1	2	2	2	2	2
GCA_018086125.1	1	1	2	2	2	2	2
GCA_015423725.1	1	1	2	2	2	2	2
GCA_015423745.1	1	1	2	2	2	2	2
GCA_015422965.1	1	1	2	2	2	2	2
GCA_015423165.1	1	0	2	2	2	2	2
GCA_015422145.1	1	0	2	2	2	2	2
GCA_015423785.1	1	0	2	2	2	2	2
GCA_015423705.1	1	1	2	2	2	2	2
GCA_015423645.1	1	1	2	2	2	2	2
GCA_015424225.1	1	1	2	2	2	2	2
GCA_015423685.1	1	1	2	2	2	2	2
GCA_015423625.1	1	1	2	2	2	2	2
GCA_015423605.1	1	1	2	2	2	2	2
GCA_015423545.1	1	1	2	2	2	2	2
GCA_015423505.1	1	1	2	2	2	2	2
GCA_015424285.1	1	1	2	2	2	2	2
GCA_015423565.1	1	0	2	2	2	2	2
GCA_015423355.1	1	1	2	2	2	2	2
GCA_015425025.1	1	0	2	2	2	2	2
GCA_015425145.1	1	0	2	2	2	2	2
GCA_015423075.1	1	0	2	2	2	2	2
GCA_015422105.1	1	1	2	2	2	2	2
GCA_018086085.1	1	1	2	2	2	2	2
GCA_015425165.1	1	1	2	2	2	2	2
GCA_015423225.1	1	1	2	2	2	2	2
GCA_015423265.1	1	1	2	2	2	2	2
GCA_015423285.1	1	1	2	2	2	2	2
GCA_015423235.1	1	1	2	2	2	2	2
GCA_018086065.1	1	1	2	2	2	2	2
GCA_017980455.1	1	1	2	2	2	2	2
GCA_015498455.1	1	1	2	2	2	2	2
GCA_015498175.1	1	1	2	2	2	2	2
GCA_015497215.1	1	0	2	2	2	2	2
GCA_015498515.1	1	1	2	2	2	2	2
GCA_015498415.1	1	1	2	2	2	2	2
GCA_017979185.1	1	1	2	2	2	2	2
GCA_015498435.1	1	1	2	2	2	2	2
GCA_018087405.1	1	0	2	2	2	2	2
GCA_018087465.1	1	1	2	2	2	2	2
GCA_045025795.1	1	0	2	2	2	2	2
