	tobramycin	ciprofloxacin	meropenem	ceftazidime	amikacin	gentamicin	imipenem	levofloxacin	cefepime	colistin	ceftolozane_tazobactam	piperacillin_tazobactam	ceftazidime_avibactam	aztreonam
GCA_000480905.1	0	0	2	0	0	0	1	0	2	0	2	2	2	2
GCA_000480885.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480865.1	0	0	2	0	0	0	1	0	2	0	2	2	2	2
GCA_000480845.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480825.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480785.1	0	0	2	0	0	0	0	0	2	1	2	2	2	2
GCA_000480765.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480745.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480725.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480705.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480685.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480665.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480645.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480615.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480595.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480575.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480555.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480535.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480515.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480495.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480475.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480455.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480435.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480415.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000480395.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000520195.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000520175.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629605.1	0	1	2	0	0	0	0	1	2	0	2	2	2	2
GCA_000629585.1	0	0	2	0	0	0	0	1	2	0	2	2	2	2
GCA_000629565.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629545.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629525.1	0	1	2	0	0	0	1	1	2	0	2	2	2	2
GCA_000629505.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629485.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629465.1	0	0	2	0	0	0	1	0	2	0	2	2	2	2
GCA_000629445.1	0	0	2	0	0	0	1	0	2	0	2	2	2	2
GCA_000629425.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629405.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629385.1	0	1	2	0	0	0	1	1	2	0	2	2	2	2
GCA_000629365.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629345.1	0	0	2	0	0	0	0	1	2	1	2	2	2	2
GCA_000629325.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629305.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629285.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629265.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629245.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629225.1	0	0	2	0	0	0	0	0	2	1	2	2	2	2
GCA_000629205.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629185.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629165.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629145.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629125.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629105.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629085.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629065.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629045.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_000629025.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_001875185.1	0	1	1	1	0	0	1	1	1	0	1	1	1	1
GCA_001875205.1	0	1	1	1	1	1	1	1	1	0	1	1	1	1
GCA_002997005.1	0	1	1	0	0	0	1	1	0	0	2	1	0	1
GCA_003324465.1	0	1	1	1	0	0	1	1	1	0	1	1	1	1
GCA_003000655.1	0	1	1	1	0	0	1	1	1	0	0	1	0	1
GCA_003000695.1	0	1	1	1	0	0	1	1	1	0	0	1	0	1
GCA_002968515.1	0	0	1	1	0	0	1	0	1	0	0	1	0	1
GCA_003074095.1	0	1	1	1	0	0	1	1	1	0	0	1	0	1
GCA_003193645.1	0	1	1	1	0	0	1	1	1	0	2	1	1	1
GCA_003260415.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GCA_003288355.1	0	0	1	1	0	0	1	1	1	0	2	1	1	1
GCA_003324295.1	0	1	1	1	0	0	1	1	1	0	2	1	1	1
GCA_003288435.1	0	0	0	1	0	1	1	0	1	0	1	1	1	1
GCA_003324255.1	0	1	1	1	0	0	1	1	1	0	0	1	1	1
GCA_003194245.1	0	1	1	1	1	0	1	1	2	0	2	1	2	1
GCA_000297355.1	0	0	2	0	0	0	0	0	2	0	2	2	2	2
GCA_003969965.1	0	0	1	0	0	0	1	0	0	2	2	0	2	0
GCA_003970055.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003970625.1	0	0	1	0	0	0	1	0	0	2	2	0	2	0
GCA_003969915.1	0	0	1	1	0	0	1	0	0	2	2	0	2	0
GCA_003970635.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003970065.1	0	1	1	1	0	1	1	1	1	2	2	1	2	1
GCA_003969865.1	0	0	1	0	0	0	1	0	0	2	2	0	2	0
GCA_003969875.1	0	1	1	0	0	1	1	1	0	2	2	0	2	0
GCA_003970005.1	0	0	1	0	0	1	1	0	0	2	2	0	2	0
GCA_003969985.1	0	1	0	0	0	0	0	1	1	2	2	0	2	0
GCA_003969975.1	0	0	1	0	0	0	1	0	0	2	2	0	2	0
GCA_003969825.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003969785.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003969475.1	0	0	0	0	0	0	1	0	0	2	2	0	2	0
GCA_003969495.1	0	1	1	1	0	0	1	1	1	2	2	1	2	1
GCA_003969795.1	0	1	0	0	0	0	1	1	0	2	2	0	2	0
GCA_003969485.1	0	1	1	1	0	0	1	1	1	2	2	1	2	1
GCA_003969775.1	0	1	1	0	0	0	1	1	1	2	2	0	2	0
GCA_003969445.1	0	1	0	0	0	0	0	1	0	2	2	0	2	0
GCA_003969415.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003969725.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003969395.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003969405.1	0	0	0	0	0	0	0	1	0	2	2	1	2	1
GCA_003969365.1	0	1	0	1	0	0	1	1	1	2	2	1	2	1
GCA_003969355.1	0	1	0	0	0	1	1	1	1	2	2	0	2	0
GCA_003969305.1	0	0	1	0	0	0	1	0	0	2	2	1	2	0
GCA_003969295.1	0	0	1	0	0	0	1	0	0	2	2	0	2	1
GCA_003969735.1	0	0	1	0	0	0	1	0	0	2	2	0	2	0
GCA_003969315.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003969255.1	0	0	0	1	0	0	0	0	0	2	2	1	2	1
GCA_003978035.1	0	0	0	0	0	0	0	0	0	2	2	0	2	1
GCA_003969655.1	0	0	1	0	0	0	1	0	0	2	2	0	2	1
GCA_003968625.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003977965.1	0	1	0	0	0	0	0	1	0	2	2	1	2	1
GCA_003977945.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003969265.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003969195.1	0	1	0	0	0	0	0	1	0	2	2	0	2	0
GCA_003969225.1	0	0	0	0	0	0	1	0	0	2	2	0	2	0
GCA_003969635.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003969155.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003968385.1	0	0	1	1	0	0	1	1	1	2	2	1	2	1
GCA_003969075.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003977955.1	0	1	1	1	0	0	1	1	1	2	2	1	2	1
GCA_003977935.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003969095.1	0	1	1	0	0	0	1	1	1	2	2	1	2	1
GCA_003969645.1	0	1	1	0	0	0	1	1	0	2	2	0	2	1
GCA_003968615.1	0	1	1	1	0	1	0	1	1	2	2	1	2	1
GCA_003969035.1	0	0	1	0	0	0	1	0	1	2	2	0	2	0
GCA_003968985.1	0	1	1	1	0	0	1	1	1	2	2	1	2	1
GCA_003969575.1	0	0	1	1	0	0	1	0	0	2	2	0	2	1
GCA_003968375.1	0	0	0	0	0	0	1	0	0	2	2	0	2	0
GCA_003977995.1	0	1	1	1	0	0	1	1	1	2	2	1	2	1
GCA_003968585.1	0	0	1	1	0	0	1	0	1	2	2	1	2	1
GCA_003969565.1	0	0	0	0	0	0	0	0	0	2	2	0	2	0
GCA_003969065.1	0	0	0	0	0	0	0	0	0	2	2	0	2	1
GCA_003969885.1	0	1	1	1	1	1	1	1	1	2	2	1	2	1
GCA_003977915.1	0	1	0	1	1	0	0	1	1	2	2	1	2	1
GCA_003968965.1	0	1	0	1	0	0	0	1	1	2	2	1	2	1
GCA_003968955.1	0	0	1	0	0	0	1	0	0	2	2	0	2	0
