	cefotaxime	ampicillin	cefuroxime	gentamicin	tobramycin	trimethoprim	ciprofloxacin	amoxicillin_clavulanic_acid	amikacin	ampicillin_sulbactam	ceftazidime	ertapenem	cefoxitin	imipenem	levofloxacin	meropenem	cefazolin	cefepime	pentizidone	tetracycline	azithromycin	chloramphenicol	ceftriaxone	nalidixic_acid	trimethoprim_sulfamethoxazole	aztreonam	doxycycline	moxifloxacin	piperacillin_tazobactam	streptomycin	sulfisoxazole	ceftiofur	kanamycin	ceftazidime_clavulanic_acid	cefpodoxime	piperacillin	colistin	sulfamethoxazole	nitrofurantoin	cefotaxime_clavulanic_acid	norfloxacin
GCA_013078105.1	1	1	1	1	1	1	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013078545.1	1	1	1	1	1	0	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013078185.1	1	1	1	0	0	1	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077985.1	1	1	1	1	1	1	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013078025.1	1	1	1	1	1	0	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013079285.1	1	1	1	1	1	0	0	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_012502675.1	1	1	1	1	1	1	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077145.1	1	1	1	1	1	0	1	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077045.1	1	1	1	0	0	1	1	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013076865.1	1	1	1	0	0	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_012502915.1	1	1	1	0	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013076985.1	1	1	1	1	1	1	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_012502695.1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013076945.1	1	1	1	1	1	0	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013076845.1	1	1	1	1	1	1	1	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013076905.1	1	1	1	1	1	1	1	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013076855.1	1	1	1	1	1	0	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013076965.1	1	1	1	1	1	1	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_012502735.1	1	1	1	0	0	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013076925.1	1	1	1	1	1	1	1	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077665.1	1	1	1	1	1	1	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_012502955.1	1	1	1	1	1	0	1	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077615.1	1	1	1	1	1	1	0	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077585.1	1	1	1	0	0	1	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077605.1	1	1	1	1	1	1	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077505.1	1	1	1	0	0	1	0	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077535.1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077565.1	1	1	1	0	0	1	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077525.1	1	1	1	1	1	1	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077485.1	1	1	1	1	1	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013078115.1	1	1	1	1	1	0	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077465.1	1	1	1	0	0	0	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077445.1	1	1	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077405.1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077385.1	1	1	1	1	1	1	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
GCA_013077365.1	1	1	1	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
