	amikacin	ceftazidime	ciprofloxacin	gentamicin	imipenem	meropenem	tetracycline	tobramycin	ceftriaxone	cefepime	levofloxacin	minocycline	ampicillin_sulbactam	doripenem	trimethoprim_sulfamethoxazole	piperacillin_tazobactam
GCA_002143555.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143495.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143395.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143425.1	1	1	1	1	1	1	2	2	2	1	2	0	0	1	2	1
GCA_002143375.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002143195.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002145035.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002144975.1	1	1	1	1	1	1	2	2	2	1	2	0	0	1	2	1
GCA_002145435.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002144965.1	1	0	1	0	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002144925.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002143315.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143105.1	1	1	1	1	1	1	2	2	2	1	2	1	0	1	2	1
GCA_002142955.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143095.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143045.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002142995.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002143035.1	1	1	1	1	1	1	2	2	2	1	2	1	0	1	2	1
GCA_002143275.1	1	1	1	1	0	1	2	2	2	1	2	1	0	1	2	1
GCA_002145175.1	1	1	1	1	1	1	2	2	2	1	2	1	0	1	2	1
GCA_002145195.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_002144725.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002145115.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002148725.1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1
GCA_002144695.1	1	1	1	1	1	1	2	2	2	0	2	0	1	1	2	1
GCA_002145125.1	1	1	1	1	1	1	2	2	2	0	2	0	0	1	2	1
GCA_002145055.1	1	1	1	1	1	1	2	2	2	1	2	0	1	1	2	1
GCA_003194535.1	1	2	1	1	1	1	1	1	1	2	1	2	2	2	1	2
GCA_003000705.1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	2	1
GCA_016536925.2	1	2	1	2	0	0	1	2	2	2	1	2	2	0	2	2
GCA_016536795.2	1	1	2	2	2	0	1	2	2	2	1	2	1	2	2	2
GCA_016536585.2	1	1	2	2	0	0	1	1	2	2	1	2	2	0	2	2
GCA_016536185.2	1	2	2	2	0	2	1	2	2	2	2	2	0	2	2	2
GCA_016535695.2	1	2	2	2	1	2	1	2	2	2	2	2	1	2	1	2
GCA_016535175.2	1	1	2	2	2	1	1	2	2	2	2	2	2	2	2	2
GCA_016534625.2	1	1	1	1	0	2	0	1	1	2	0	2	1	2	1	2
GCA_016534365.2	1	1	1	1	0	2	1	1	1	2	1	2	0	2	1	2
GCA_016532435.2	1	1	1	1	0	2	1	1	1	2	1	2	1	2	1	2
GCA_016530115.2	1	1	1	1	0	0	0	1	1	2	1	2	0	0	0	2
